country,category,source,total,n_cities,top1_city,top1_share_pct
ES,medicina,ca-dca-open-data,187,5,Valencia,90.4
ES,medicina,siem,167,1,Guadalajara,100.0
ES,medicina,denue-mx,68,1,Guadalajara,100.0
ES,medicina,borme,4,3,Burgos,50.0
ES,medicina,profeco-sancionados,1,1,Guadalajara,100.0
ES,notario,cgn-notariado,416,111,Barcelona,18.8
ES,notario,denue-mx,144,1,Guadalajara,100.0
ES,notario,padron-notarios-fed-mx,86,1,Guadalajara,100.0
ES,notario,siem,1,1,Guadalajara,100.0
ES,psicologia,google_places,5512,44,Madrid,17.1
ES,psicologia,colegio,1330,1,Barcelona,100.0
ES,psicologia,doctoralia,429,12,Madrid,47.3
ES,psicologia,osm,199,58,Madrid,17.6
ES,psicologia,denue-mx,3,1,Guadalajara,100.0
ES,psicologia,manual,1,1,Madrid,100.0
ES,psicologia,borme,1,1,Oviedo,100.0
ES,veterinario,vucolvet,13999,26,Madrid,17.9
ES,veterinario,senasica-mx-vet,291,1,Guadalajara,100.0
ES,veterinario,siem,17,1,Guadalajara,100.0
FR,abogado,cnb-avocats,45446,255,Paris,45.2
FR,arquitecto,sirene-insee,10000,189,Paris,32.9
FR,arquitecto,architectes-fr,9296,8,Paris,57.7
FR,arquitecto,ademe-rge,2707,215,Paris,25.9
FR,carpinteria,ademe-rge,673,132,Paris,10.4
FR,cerrajero,sirene-insee,5170,247,Paris,46.3
FR,dentista,annuaire-sante-ameli,48334,76,Marseille,22.6
FR,dentista,rpps-fr,12721,291,Paris,21.9
FR,dentista,annuaire-sante-ans,5477,283,Paris,20.3
FR,electricidad,sirene-insee,10000,135,Paris,47.5
FR,electricidad,ademe-rge,389,98,Toulouse,6.7
FR,electricidad,texas-tdlr,3,1,Paris,100.0
FR,enfermeria,annuaire-sante-ans,729,111,Paris,18.2
FR,extranjeria,sirene-insee,10000,167,Marseille,26.9
FR,extranjeria,cnb-avocats,4018,26,Paris,50.0
