country,city_slug,category_key,n
CA,bardstown,ingenieria,1
CA,barnwell,ingenieria,1
CA,barrhead,ingenieria,9
CA,barrhead-county-no-11,ingenieria,2
CA,barrie,carpinteria,39
CA,barrie,electricidad,36
CA,barrie,ingenieria,21
CA,barrie,medicina,2
CA,barrington-passage,medicina,3
CA,barss-corner,medicina,3
CA,barss-corner,ingenieria,2
CA,bashaw,ingenieria,1
CA,basking-ridge,ingenieria,1
CA,bassano,ingenieria,2
CA,bassano,hvac,2
CA,bastrop,ingenieria,3
CA,batavia,ingenieria,1
CA,bath,ingenieria,1
CA,bathurst,medicina,3
CA,bathurst,ingenieria,1
CA,baton-rouge,ingenieria,3
CA,battleford,electricidad,16
CA,battleford,hvac,8
CA,battleford,ingenieria,1
CA,bay-city,ingenieria,1
CA,bay-duvin,medicina,1
CA,bayfield,ingenieria,1
CA,baynes-lake,ingenieria,2
CA,bayswater,ingenieria,1
CA,baytona,ingenieria,1
CA,beaconsfield,ingenieria,5
CA,beamsville,ingenieria,3
CA,bear-river,medicina,1
CA,bear-river-city,ingenieria,1
CA,beasley,ingenieria,1
CA,beatty,electricidad,4
CA,beatty,hvac,2
CA,beauharnois,ingenieria,2
CA,beaumont,ingenieria,164
CA,beaumont-ab,carpinteria,1
CA,beausejour,electricidad,2
CA,beausejour,hvac,2
CA,beauval,electricidad,4
CA,beaver,ingenieria,1
CA,beaver-bank,ingenieria,1
CA,beaver-county,ingenieria,11
CA,beaver-dam,ingenieria,1
CA,beaverbank,ingenieria,1
CA,beaverbank,medicina,1
CA,beaverlodge,ingenieria,12
CA,beaverton,ingenieria,3
CA,beaverton,medicina,1
CA,becancour,ingenieria,1
CA,beckley,ingenieria,1
CA,bedell,ingenieria,1
CA,bedford,medicina,82
CA,bedford,ingenieria,13
CA,beechville,medicina,5
CA,beechville,ingenieria,1
CA,beechy,electricidad,4
CA,beechy,hvac,2
CA,beeton,ingenieria,1
CA,beijing,ingenieria,1
CA,beirut,ingenieria,1
CA,beiseker,ingenieria,6
CA,belair,ingenieria,1
CA,belcarra,ingenieria,1
CA,belgium,ingenieria,1
CA,belgrade,ingenieria,1
CA,belle-mead,ingenieria,1
CA,belle-plaine,electricidad,4
CA,belle-river,ingenieria,2
CA,belleville,carpinteria,24
CA,belleville,ingenieria,4
CA,belleville,medicina,3
CA,bellevue,ingenieria,12
CA,bellingham,ingenieria,3
CA,bellis,ingenieria,1
CA,bellville,ingenieria,1
CA,belmont,ingenieria,2
CA,beloeil,ingenieria,1
CA,benalto,ingenieria,2
CA,bend,ingenieria,3
CA,bengough,hvac,2
CA,bengough,electricidad,2
CA,bennett,ingenieria,1
CA,bentley,ingenieria,6
CA,bergen,ingenieria,1
CA,berlin,ingenieria,3
CA,bermuda,medicina,1
CA,berry-mills,ingenieria,1
CA,berwick,medicina,13
CA,berwyn,ingenieria,1
CA,bethany,ingenieria,1
